Algebraic modular forms associated to discriminant -120

Genus size: 5

Class representative:
[ 2  0  0  0 -1  1]
[ 0  2  0  0 -1  1]
[ 0  0  2  0 -1  0]
[ 0  0  0  2  0  0]
[-1 -1 -1  0  4 -1]
[ 1  1  0  0 -1  4]

Char. Poly                           Size    (spin, det) = (1, 1)    (1, -1)    (2, 1)    (2, -1)    (3, 1)    (3, -1)    (5, 1)    (5, -1)    (6, 1)    (6, -1)    (10, 1)    (10, -1)    (15, 1)    (15, -1)    (30, 1)    (30, -1)
---------------------------------  ------  ----------------------  ---------  --------  ---------  --------  ---------  --------  ---------  --------  ---------  ---------  ----------  ---------  ----------  ---------  ----------
(x - 1)^6                               1                       1          1         1          1         1          1         1          1         1          1          1           1          1           1          1           1
(x - 1)^2 * (x + 1)^4                   1                       1          1         1          1         1          1        -1         -1         1          1         -1          -1         -1          -1         -1          -1
(x - 1)^2 * (x + 1)^4                   1                       1          1         1          1         1          1        -1         -1         1          1         -1          -1         -1          -1         -1          -1
(x - 1)^3 * (x + 1)^3                   1                       1         -1         1         -1         1         -1        -1          1         1         -1         -1           1         -1           1         -1           1
(x - 1)^2 * (x + 1)^4                   2                       1          1         1          1         1          1        -1         -1         1          1         -1          -1         -1          -1         -1          -1
(x - 1)^3 * (x + 1)^3                   2                       1         -1         1         -1         1         -1        -1          1         1         -1         -1           1         -1           1         -1           1
(x - 1)^3 * (x + 1)^3                   2                       1         -1         1         -1         1         -1        -1          1         1         -1         -1           1         -1           1         -1           1
(x + 1)^2 * (x - 1)^4                   2                       1          1         1          1         1          1        -1         -1         1          1         -1          -1         -1          -1         -1          -1
(x + 1)^6                               1                       1          1        -1         -1        -1         -1        -1         -1         1          1          1           1          1           1         -1          -1
(x - 1) * (x + 1)^5                     1                       1         -1        -1          1        -1          1        -1          1         1         -1          1          -1          1          -1         -1           1
(x - 1) * (x + 1)^5                     1                       1         -1        -1          1        -1          1        -1          1         1         -1          1          -1          1          -1         -1           1
(x - 1)^2 * (x + 1)^4                   1                       1          1        -1         -1        -1         -1        -1         -1         1          1          1           1          1           1         -1          -1
(x - 1) * (x + 1)^5                     2                       1         -1        -1          1        -1          1        -1          1         1         -1          1          -1          1          -1         -1           1
(x - 1)^2 * (x + 1)^4                   2                       1          1        -1         -1        -1         -1        -1         -1         1          1          1           1          1           1         -1          -1
(x - 1)^2 * (x + 1)^4                   2                       1          1        -1         -1        -1         -1        -1         -1         1          1          1           1          1           1         -1          -1
(x - 1)^3 * (x + 1)^3                   2                       1         -1        -1          1        -1          1        -1          1         1         -1          1          -1          1          -1         -1           1
(x - 1)^2 * (x + 1)^4                   1                       1          1         1          1         1          1         1          1         1          1          1           1          1           1          1           1
(x - 1)^3 * (x + 1)^3                   1                       1         -1         1         -1         1         -1         1         -1         1         -1          1          -1          1          -1          1          -1
(x - 1)^3 * (x + 1)^3                   1                       1         -1         1         -1         1         -1         1         -1         1         -1          1          -1          1          -1          1          -1
(x + 1)^2 * (x - 1)^4                   1                       1          1         1          1         1          1         1          1         1          1          1           1          1           1          1           1
(x - 1)^3 * (x + 1)^3                   2                       1         -1         1         -1         1         -1         1         -1         1         -1          1          -1          1          -1          1          -1
(x + 1)^2 * (x - 1)^4                   2                       1          1         1          1         1          1         1          1         1          1          1           1          1           1          1           1
(x + 1)^2 * (x - 1)^4                   2                       1          1         1          1         1          1         1          1         1          1          1           1          1           1          1           1
(x + 1) * (x - 1)^5                     2                       1         -1         1         -1         1         -1         1         -1         1         -1          1          -1          1          -1          1          -1
(x - 1) * (x + 1)^5                     1                       1         -1        -1          1        -1          1         1         -1         1         -1         -1           1         -1           1          1          -1
(x - 1)^2 * (x + 1)^4                   1                       1          1        -1         -1        -1         -1         1          1         1          1         -1          -1         -1          -1          1           1
(x - 1)^2 * (x + 1)^4                   1                       1          1        -1         -1        -1         -1         1          1         1          1         -1          -1         -1          -1          1           1
(x - 1)^3 * (x + 1)^3                   1                       1         -1        -1          1        -1          1         1         -1         1         -1         -1           1         -1           1          1          -1
(x - 1)^2 * (x + 1)^4                   2                       1          1        -1         -1        -1         -1         1          1         1          1         -1          -1         -1          -1          1           1
(x - 1)^3 * (x + 1)^3                   2                       1         -1        -1          1        -1          1         1         -1         1         -1         -1           1         -1           1          1          -1
(x - 1)^3 * (x + 1)^3                   2                       1         -1        -1          1        -1          1         1         -1         1         -1         -1           1         -1           1          1          -1
(x + 1)^2 * (x - 1)^4                   2                       1          1        -1         -1        -1         -1         1          1         1          1         -1          -1         -1          -1          1           1
(x - 1)^2 * (x + 1)^4                   2                       1          1        -1         -1         1          1        -1         -1        -1         -1          1           1         -1          -1          1           1
(x - 1)^3 * (x + 1)^3                   2                       1         -1        -1          1         1         -1        -1          1        -1          1          1          -1         -1           1          1          -1
(x - 1)^3 * (x + 1)^3                   2                       1         -1        -1          1         1         -1        -1          1        -1          1          1          -1         -1           1          1          -1
(x + 1)^2 * (x - 1)^4                   2                       1          1        -1         -1         1          1        -1         -1        -1         -1          1           1         -1          -1          1           1
(x - 1) * (x + 1)^3 * (x^2 + 1)         2                       1         -1        -1          1         1         -1        -1          1        -1          1          1          -1         -1           1          1          -1
(x - 1)^2 * (x + 1)^2 * (x^2 + 1)       2                       1          1        -1         -1         1          1        -1         -1        -1         -1          1           1         -1          -1          1           1
(x - 1)^2 * (x + 1)^2 * (x^2 + 1)       2                       1          1        -1         -1         1          1        -1         -1        -1         -1          1           1         -1          -1          1           1
(x + 1) * (x - 1)^3 * (x^2 + 1)         2                       1         -1        -1          1         1         -1        -1          1        -1          1          1          -1         -1           1          1          -1
(x - 1) * (x + 1)^5                     2                       1         -1         1         -1        -1          1        -1          1        -1          1         -1           1          1          -1          1          -1
(x - 1)^2 * (x + 1)^4                   2                       1          1         1          1        -1         -1        -1         -1        -1         -1         -1          -1          1           1          1           1
(x - 1)^2 * (x + 1)^4                   2                       1          1         1          1        -1         -1        -1         -1        -1         -1         -1          -1          1           1          1           1
(x - 1)^3 * (x + 1)^3                   2                       1         -1         1         -1        -1          1        -1          1        -1          1         -1           1          1          -1          1          -1
(x + 1)^4 * (x^2 + 1)                   2                       1          1         1          1        -1         -1        -1         -1        -1         -1         -1          -1          1           1          1           1
(x - 1) * (x + 1)^3 * (x^2 + 1)         2                       1         -1         1         -1        -1          1        -1          1        -1          1         -1           1          1          -1          1          -1
(x - 1) * (x + 1)^3 * (x^2 + 1)         2                       1         -1         1         -1        -1          1        -1          1        -1          1         -1           1          1          -1          1          -1
